Bmr025-c4_0000040_0000110,yeah .,yeah .,z,z
Bmr025-c9_0870876_0871136,okay .,o_k .,b,b
Bmr025-ca_0872280_0872460,um ==,um ==,fh,fh
Bmr025-c9_0873392_0873802,all right .,alright .,b,b
Bmr025-c1_0874001_0875831,that's more seat information than we wanted .,that's more seat information than we wanted .,s^j,s^j
Bmr025-c9_0874874_0875564,never mind .,never mind .,s^bd,s^bd
Bmr025-c4_0875663_0876923,huh ==,hmm ==,b,b
Bmr025-c9_0876196_0881136,i'm just trying to figure out you know when morgan's voice appears on someone's microphone are they next to him or are they across from him .,i'm just trying to figure out you know when morgan's voice appears on someone's microphone are they next to him Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.out Bmr020.trans Bmr021.dadb Bmr021.out Bmr021.trans Bmr022.dadb Bmr022.out Bmr022.trans Bmr023.dadb Bmr023.out Bmr023.trans Bmr024.dadb Bmr024.out Bmr024.trans Bmr025.dadb Bmr025.out Bmr025.trans Bmr026.dadb Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh or are they across from him .,s:qr^rt,s:qr^rt
Bmr025-ca_0877819_0879139,maybe we should bleep that out .,maybe we should bleep that out .,s^cs^j,s^cs^j
Bmr025-c1_0877951_0878301,yeah .,yeah .,b,b
Bmr025-c1_0879178_0879768,huh yeah .,mmm yeah .,b,b
Bmr025-c5_0881220_0881580,wait a minute .,wait a minute .,s^co,s^co
Bmr025-ca_0881380_0881650,right .,right .,s^aa,s^aa
Bmr025-c5_0881580_0883650,how - how w- - uh where is it in the key file ?,how - how w- - eh where is it in the key file ?,qw^rt,qw^rt
Bmr025-c1_0881854_0882104,yeah .,yeah .,b,b
Bmr025-ca_0884230_0885050,the square bracket .,the square bracket .,s^rt,s^rt
Bmr025-c9_0885860_0887683,because i mean i haven't been putting it in .,cuz i mean i haven't been putting it in .,s,s
Bmr025-c9_0887683_0888573,and - in by ==,and - in by ==,s.%-,s.%-
Bmr025-ca_0888160_0889180,you haven't been putting it in .,you haven't been putting it in .,s^bu,s^bu
Bmr025-c9_0889180_0889430,right .,right .,s^aa,s^aa
Bmr025-c9_0889670_0890440,i have not .,i have not .,s^r,s^r
Bmr025-c0_0889740_0890090,well bu- ==,well bu- ==,%-,%-
Bmr025-ca_0890070_0890850,oh okay .,oh o_k .,s^bk,s^bk
Bmr025-c0_0890620_0891870,isn't it always on the digits ?,isn't it always on the digits ?,qy^bu^rt,qy^bu^rt
Bmr025-c9_0890630_0890940,and ==,and ==,fh,fh
Bmr025-c1_0890700_0891610,some of these are missing .,some of these are missing .,s^bu,s^bu
Bmr025-c1_0891610_0891960,aren't they ?,aren't they ?,qy^rt,qy^rt
Bmr025-c0_0892640_0894100,isn't it always on the digits forms ?,isn't it always on the digits forms ?,qy^bu^r^rt,qy^bu^r^rt
Bmr025-c1_0893038_0894178,some fall out of ==,some fall out of ==,s^t1.%-,s^t1.%-
Bmr025-c9_0893290_0893750,well it- ==,well it- ==,%-,%-
Bmr025-ca_0893540_0895750,yeah | so we can go back and fill them in for the ones we have .,yeah | so we can go back and fill them in for the ones we have .,s^aa|s^cs,s^aa|s^cs
Bmr025-c2_0894193_0894323,ooo .,ooo .,b,b
Bmr025-c9_0895760_0897000,i mean they're on th- - right - these .,i mean they're on th- - right - these .,s,s
Bmr025-c9_0897000_0899410,but i just hadn't ever been putting it in the key files .,but i just hadn't ever been putting it in the key files .,s,s
Bmr025-c5_0898460_0899440,yeah i - i never ==,yeah i - i never ==,s.%-,s.%-
Bmr025-c9_0899410_0900630,and i don't think chuck was either .,and i don't think chuck was either .,s,s
Bmr025-c5_0900530_0902490,i never knew we were supposed to put it in the key file .,i never knew we were supposed to put it in the key file .,s,s
Bmr025-c9_0900630_0900850,because ==,cuz ==,%-,%-
Bmr025-ca_0901930_0903300,i had told you guys about it .,i had told you guys about it .,s,s
Bmr025-c9_0903120_0904290,oh | so we're both sorry .,oh | so we're both sorry .,s^bk|s^fa,s^bk|s^fa
Bmr025-ca_0903300_0903510,but ==,but ==,fh,fh
Bmr025-c5_0903460_0903870,oh really ?,oh really ?,qh^rt,qh^rt
Bmr025-c9_0904290_0904630,so ==,so ==,fh,fh
Bmr025-ca_0904648_0908728,i mean this is why i want to use a g- - a tool to do it rather than the plain text .,i mean this is why i wanna use a g- - a tool to do it rather than the plain text .,s^df,s^df
Bmr025-c9_0906180_0906410,okay .,o_k .,b,b
Bmr025-ca_0908728_0911238,because with the plain text it's very easy to skip those things .,because with the plain text it's very easy to skip those things .,s^df,s^df
Bmr025-c5_0909140_0909600,okay .,o_k .,s^bk,s^bk
Bmr025-c9_0912190_0912430,okay .,o_k .,s^bk,s^bk
Bmr025-ca_0912500_0912750,so ==,so ==,fh,fh
Bmr025-ca_0913836_0915556,um if you use the edit key ==,um if you use the edit-key ==,s.%--,s.%--
Bmr025-ca_0916550_0917200,or key edit .,or key-edit .,s^bsc^rt,s^bsc^rt
Bmr025-ca_0917200_0918402,i think it's edit key command .,i think it's edit-key command .,s^rt,s^rt
Bmr025-c3_0917687_0918297,edit key .,edit-key .,s^aa^m,s^aa^m
Bmr025-ca_0918547_0919367,did i show you guys that ?,did i show you guys that ?,qy^rt,qy^rt
Bmr025-c3_0919716_0919876,yep .,yep .,s^aa,s^aa
Bmr025-ca_0919797_0920567,i did show it to you .,i did show it to you .,s,s
Bmr025-c5_0920140_0920790,you mentioned it .,you mentioned it .,s^na,s^na
Bmr025-ca_0920567_0924155,but i think you both said no you'll just use text file .,but i think you both said no you'll just use text file .,s:s,s:s
Bmr025-c5_0920790_0921340,yeah yeah .,yeah yeah .,s^aa,s^aa
Bmr025-c5_0924050_0924280,text .,text .,s^2,s^2
Bmr025-ca_0924155_0926945,um | it has it in there a place to fill it in .,um | it has it in there a place to fill it in .,fh|s,fh|s
Bmr025-c9_0926398_0926848,okay .,o_k .,s^bk,s^bk
Bmr025-c5_0927060_0927750,okay .,o_k .,s^bk,s^bk
Bmr025-ca_0929270_0932030,yeah and so if you don't fill it in you're not going to get it in the meetings .,yeah and so if you don't fill it in Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.out Bmr020.trans Bmr021.dadb Bmr021.out Bmr021.trans Bmr022.dadb Bmr022.out Bmr022.trans Bmr023.dadb Bmr023.out Bmr023.trans Bmr024.dadb Bmr024.out Bmr024.trans Bmr025.dadb Bmr025.out Bmr025.trans Bmr026.dadb Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh you're not gonna get it in the meetings .,s,s
Bmr025-c9_0929770_0930080,so if ==,so if ==,%-,%-
Bmr025-ca_0932290_0932640,so ==,so ==,fh,fh
Bmr025-c9_0932530_0934610,right well i - i just realized i hadn't been doing it .,right well i - i just realized i hadn't been doing it .,s^df,s^df
Bmr025-ca_0934167_0934417,yep .,yep .,b,b
Bmr025-c9_0934610_0935700,and probably - so ==,and probably - so ==,%--,%--
Bmr025-ca_0936670_0939960,yeah and then the other thing also that thilo noticed is on the microphone .,yeah and then the other thing also that thilo noticed is on the microphone .,s^rt,s^rt
Bmr025-c2_0936697_0937137,u- ==,u- ==,%-,%-
Bmr025-ca_0940102_0943192,on channel zero it says hand held mike or crown mike .,on channel zero it says hand-held mike or crown mike .,s^rt:s,s^rt:s
Bmr025-c9_0942205_0942385,yeah .,yeah .,b,b
Bmr025-c9_0943197_0943577,right .,right .,s^aa,s^aa
Bmr025-ca_0943405_0944705,you actually have to say which one .,you actually have to say which one .,s^co,s^co
Bmr025-c9_0944660_0945000,i know .,i know .,s^aa,s^aa
Bmr025-c9_0945000_0946350,yeah i usually delete the ==,yeah i usually delete the ==,s.%--,s.%--
Bmr025-ca_0945155_0945345,so ==,so ==,fh,fh
Bmr025-c9_0946658_0946968,i don't ==,i don't ==,%-,%-
Bmr025-c5_0946830_0948070,oh okay | i didn't do that either .,oh o_k | i didn't do that either .,s^bk|s,s^bk|s
Bmr025-c9_0947258_0948098,maybe i forgot to d- ==,maybe i forgot to d- ==,s.%-,s.%-
Bmr025-c3_0947540_0947770,yeah .,yeah .,b,b
Bmr025-c5_0950040_0951380,takes me no time at all to edit these .,takes me no time at all to edit these .,s,s
Bmr025-c9_0950370_0951070,but it's almost ==,but it's almost ==,s.%-,s.%-
Bmr025-c9_0951495_0951815,yeah .,yeah .,fg,fg
Bmr025-ca_0951660_0953190,yeah that's because you kn- ==,yeah that's cuz you kn- ==,s.%-,s.%-
Bmr025-c5_0952330_0953090,i'm not doing anything .,i'm not doing anything .,s^2^j,s^2^j
Bmr025-ca_0953190_0953390,i - i know why .,i - i know why .,s,s
Bmr025-c9_0955168_0957658,and i was - i was looking at chuck's like oh what did chuck do .,and i was - i was looking at chuck's like oh what did chuck do .,s:qw,s:qw
Bmr025-c9_0957658_0958368,okay i'll do that .,o_k i'll do that .,s:s^cc,s:s^cc
Bmr025-c9_0958558_0958678,so ==,so ==,fh,fh
Bmr025-ca_0959730_0967160,and then uh also in a couple of places instead of filling the participants under participants they were filled in under description .,and then uh also in a couple of places instead of filling the participants under participants they were filled in under description .,s:s,s:s
Bmr025-c1_0960560_0961140,uh okay .,ah o_k .,s^bk,s^bk
Bmr025-c9_0967670_0967940,uh ==,uh ==,fg,fg
Bmr025-ca_0967951_0969141,and so that's also a problem .,and so that's also a problem .,s,s
Bmr025-ca_0970820_0971310,so anyway .,so anyway .,s^tc,s^tc
Bmr025-c9_0972410_0973320,we will do better .,we will do better .,s^cc,s^cc
Bmr025-ca_0972800_0973200,that's it .,that's it .,s^tc,s^tc
Bmr025-ca_0974820_0978240,oh uh | also i'm working on another version of this tool .,oh uh | also i'm working on another version of this tool .,fg|s^rt,fg|s^rt
Bmr025-ca_0978808_0982835,the - the one that shows up here that will flash yellow if the mike isn't connected .,the - the one that shows up here that will flash yellow if the mike isn't connected .,s^e,s^e
Bmr025-ca_0983440_0984880,and it's not quite ready to go yet .,and it's not quite ready to go yet .,s,s
Bmr025-ca_0984910_0988406,because um it's hard to tell whether the mike's connected or not .,because um it's hard to tell whether the mike's connected or not .,s,s
Bmr025-ca_0988496_0993720,because the best quality ones - the crown ones - are about the same level if they're off .,because the best quality ones - the crown ones - are about the same level if they're off .,s^rt,s^rt
Bmr025-ca_0994012_0996362,and no one's o- - off or if they're on and no one's talking .,and no one's o- - off or if they're on and no one's talking .,s^e,s^e
Bmr025-c2_0996450_0996700,huh .,huh .,b,b
Bmr025-ca_0997510_1000470,um these - these ones they are much easier .,um these - these ones they are much easier .,s,s
Bmr025-ca_1000610_1001580,there's a bigger difference .,there's a bigger difference .,s^df,s^df
Bmr025-ca_1002250_1003250,so i'm working on that .,so i'm working on that .,s,s
Bmr025-ca_1003250_1004350,and it - it sort of works .,and it - it sorta works .,s,s
Bmr025-ca_1004350_1005910,and so eventually we will change to that .,and so eventually we will change to that .,s^cc,s^cc
Bmr025-ca_1005910_1008550,and then you'll be able to see graphically if your mike is dropping in or out .,and then you'll be able to see graphically if your mike is dropping in or out .,s^df,s^df
Bmr025-c2_1009630_1011790,will that also include like batteries dying ?,will that also include like batteries dying ?,qy^rt,qy^rt
Bmr025-ca_1011650_1011820,yep .,yep .,s^aa,s^aa
Bmr025-c2_1012040_1014440,just a- - any time the mike's putting out zeros basically .,just a- - any time the mike's putting out zeros basically .,s^bu,s^bu
Bmr025-ca_1013100_1013280,yep .,yep .,s^aa,s^aa
Bmr025-ca_1014270_1014440,yep .,yep .,s^aa^r,s^aa^r
Bmr025-c5_1015290_1016880,but with the screensaver kicking in it ==,but with the screensaver kicking in it ==,s.%-,s.%-
Bmr025-ca_1015350_1015650,now ==,now ==,%-,%-
Bmr025-c3_1015790_1015980,but ==,but ==,fg,fg
Bmr025-c3_1015980_1016480,y- - yeah .,y- - yeah .,b,b
Bmr025-ca_1016980_1018430,well i'll turn off the screensaver too .,well i'll turn off the screensaver too .,s^cc,s^cc
Bmr025-c2_1017090_1017400,yeah .,yeah .,b,b
Bmr025-c3_1017390_1017550,yeah .,yeah .,b,b
Bmr025-c2_1018740_1019000,oops !,oops !,s^fe,s^fe
Bmr025-ca_1019330_1022600,um | the other thing is as i've said before it is actually on .,um | the other thing is as i've said before it is actually on .,fh|s,fh|s
Bmr025-c2_1019600_1020340,speaking of which .,speaking of which .,s,s
Bmr025-ca_1023030_1023470,the thing .,the thing .,s^e,s^e
Bmr025-ca_1023470_1024570,there's a little level meter .,there's a little level meter .,s,s
Bmr025-ca_1024860_1026570,but of course no one ever pays attention to it .,but of course no one ever pays attention to it .,s,s
Bmr025-ca_1026570_1030480,so i think having it on the screen is more easy to notice .,so i think having it on the screen is more easy to notice .,s,s
Bmr025-c0_1030860_1033600,it would be nice if - if these had little light indicators .,it would be nice if - if these had little light indicators .,s^cs,s^cs
Bmr025-c0_1033600_1034680,little l e d's for ==,little l_e_ds for ==,s^e.%-,s^e.%-
Bmr025-ca_1034110_1034590,uh buzzer .,uh buzzer .,s^2^j,s^2^j
Bmr025-c0_1035150_1035790,yeah a buzzer .,yeah a buzzer .,s^aa^j^r,s^aa^j^r
Bmr025-ca_1035990_1036920,bamp bamp !,bamp bamp !,s^fe,s^fe
Bmr025-c1_1037400_1038620,small shocks .,small shocks .,s^j,s^j
Bmr025-c0_1038750_1038990,yeah .,yeah .,s^aa,s^aa
Bmr025-c0_1039400_1039900,actually ==,actually ==,%-,%-
Bmr025-c1_1040140_1041000,administered to the ==,administered to the ==,%-,%-
Bmr025-c1_1041250_1041550,okay .,o_k .,fg,fg
Bmr025-ca_1042640_1043910,okay disk backup et cetera ?,o_k disk backup et cetera ?,qy^d^rt^t^tc,qy^d^rt^t^tc
Bmr025-c1_1042670_1042930,oh ==,oh ==,fg,fg
Bmr025-ca_1044930_1051230,um i spoke with dave johnson about putting all the meeting recorder stuff on non backed up disk to save the overhead of backup .,um i spoke with dave johnson about putting all the meeting recorder stuff on non-backed-up disk to save the overhead of backup .,s,s
Bmr025-ca_1051670_1054040,and he pretty much said yeah you could do that if you want .,and he pretty much said yeah you could do that if you want .,s:s,s:s
Bmr025-ca_1054330_1055560,but he thought it was a bad idea .,but he thought it was a bad idea .,s^ba,s^ba
Bmr025-ca_1056200_1063230,in fact what he said is doing the manual one - doing uh n w archive to copy it - is a good idea .,in fact what he said is doing the manual one - doing uh n_w archive to copy it - is a good idea .,s^ba^rt,s^ba^rt
Bmr025-ca_1063520_1065680,and we should do that and have it backed up .,and we should do that and have it backed up .,s,s
Bmr025-ca_1066650_1069960,he w- - he's a firm believer in - in lots of different modalities of backup .,he w- - he's a firm believer in - in lots of different modalities of backup .,s,s
Bmr025-ca_1070350_1071700,i mean his point was well taken .,i mean his point was well taken .,s,s
Bmr025-ca_1071850_1073440,this data cannot be recovered .,this data cannot be recovered .,s^df,s^df
Bmr025-c9_1073780_1074060,yeah .,yeah .,s^aa,s^aa
Bmr025-ca_1074400_1079520,and so if a mistake is made and we lose the backup we should have the archive .,and so if a mistake is made and we lose the backup we should have the archive .,s,s
Bmr025-ca_1079520_1082480,and if then a mistake is made and we lose the archive we should have the backup .,and if then a mistake is made and we lose the archive we should have the backup .,s,s
Bmr025-c1_1082730_1087990,well i guess it is true that even with something that's backed up it's not going to ==,well i guess it is true that even with something that's backed up it's not gonna ==,s.%--,s.%--
Bmr025-c1_1088510_1093550,if it's stationary it's not going to go through the increment- - it's not going to burden things in the incremental backups .,if it's stationary it's not going to go through the increment- - it's not gonna burden things in the incremental backups .,s,s
Bmr025-ca_1092870_1094510,just - just the monthly full .,just - just the monthly full .,s^2,s^2
Bmr025-c0_1093380_1093550,huh ==,hmm ==,b,b
Bmr025-c1_1094850_1096440,yeah | so the monthly full will be a bear .,yeah | so the monthly full will be a bear .,s^aa|s,s^aa|s
Bmr025-c1_1096440_1096540,but ==,but ==,fh,fh
Bmr025-ca_1096600_1102280,yeah but he said that - that we sh- - shouldn't worry too much about that .,yeah but he said that - that we sh- - shouldn't worry too much about that .,s,s
Bmr025-ca_1102420_1104100,that we're getting a new backup system .,that we're getting a new backup system .,s^df,s^df
Bmr025-ca_1104100_1108560,and we're far enough away from saturation on full backups that it's w- - probably okay .,and we're far enough away from saturation on full backups that it's w- - probably o_k .,s,s
Bmr025-c1_1106480_1106680,really ?,really ?,qy^bh,qy^bh
Bmr025-ca_1108960_1119430,and uh | so the only issue here is the timing between getting more disks and uh - recording meetings .,and uh | so the only issue here is the timing between getting more disks and uh - recording meetings .,fh|s,fh|s
Bmr025-c1_1120090_1129310,so i guess the idea is that we would be reserving the non backed up space for things that took less than twenty four hours to recreate or something like that .,so i guess the idea is that we would be reserving the non-backed-up space for things that took less than twenty-four hours to recreate or something like that .,s^bu,s^bu
Bmr025-ca_1129130_1133340,things that are recreatable easily and also - yeah basically things that are recreatable .,things that are recreatable easily and also - yeah basically things that are recreatable .,s^na,s^na
Bmr025-c1_1129310_1129540,right ?,right ?,qy^d^g^rt,qy^d^g^rt
Bmr025-c1_1130870_1131260,yeah .,yeah .,b,b
Bmr025-c1_1132670_1133040,yeah .,yeah .,b,b
Bmr025-ca_1134060_1135750,the expanded files and things like that .,the expanded files and things like that .,s,s
Bmr025-c1_1137060_1137530,okay .,o_k .,b,b
Bmr025-ca_1137180_1138400,they take up a lot more room anyway .,they take up a lot more room anyway .,s,s
Bmr025-c1_1139190_1139510,yeah .,yeah .,b,b
Bmr025-ca_1140470_1141550,uh but we do need more disk .,uh but we do need more disk .,s,s
Bmr025-c1_1142230_1143800,so we can get more disk .,so we can get more disk .,s^bk,s^bk
Bmr025-ca_1143670_1143880,yeah .,yeah .,s^aa,s^aa
Bmr025-c1_1143800_1144480,yeah - so .,yeah - so .,fh,fh
Bmr025-ca_1145210_1146230,and i - i think i agree with him .,and i - i think i agree with him .,s,s
Bmr025-ca_1146230_1150180,i mean his point was well taken that if we lose one of these we cannot get it back .,i mean his point was well taken that if we lose one of these we cannot get it back .,s,s
Bmr025-c1_1150600_1150930,okay .,o_k .,s^bk,s^bk
Bmr025-ca_1154370_1156110,i don't think there was any other et cetera there .,i don't think there was any other et cetera there .,s^t,s^t
Bmr025-c1_1157670_1161000,well i was allowing someone else to come up with something related that they had uh ==,well i was allowing someone else to come up with something related that they had uh ==,s.%-,s.%-
Bmr025-c4_1163110_1164900,i thought you guys were going to burn c d's .,i thought you guys were gonna burn c_ds .,s^bu,s^bu
Bmr025-ca_1165070_1168390,um | unfortunately - we could burn c d's but first of all it's a pain .,um | unfortunately - we could burn c_ds but first of all it's a pain .,h|s^ng,h|s^ng
Bmr025-c4_1168810_1169000,yeah .,yeah .,b,b
Bmr025-ca_1168870_1171820,because you have to copy it down to the p c and then burn it .,because you have to copy it down to the p_c and then burn it .,s^df^rt,s^df^rt
Bmr025-ca_1171820_1173380,and that's a multi step procedure .,and that's a multi-step procedure .,s^e^rt,s^e^rt
Bmr025-ca_1173760_1178550,and second of all the - the write once burners as opposed to a professional press don't last .,and second of all the - the write-once burners as opposed to a professional press don't last .,s,s
Bmr025-c4_1179080_1179280,yeah .,yeah .,b,b
Bmr025-ca_1179350_1181860,so i think burning them for distribution is fine .,so i think burning them for distribution is fine .,s^ba,s^ba
Bmr025-ca_1182190_1184300,but burning them for backup is not a good idea .,but burning them for backup is not a good idea .,s^ba,s^ba
Bmr025-c4_1184440_1184790,i see .,i see .,s^bk,s^bk
Bmr025-ca_1185630_1188560,because th- - they - they fail after a couple years .,cuz th- - they - they fail after a couple years .,s^df,s^df
Bmr025-c4_1185790_1186030,okay .,o_k .,b,b
Bmr025-c4_1188920_1189120,all right .,alright .,b,b
Bmr025-c0_1191160_1194000,i do have uh uh - it's a different topic can i add one top- - topic .,i do have uh uh - it's a different topic can i add one top- - topic .,s^t^tc,s^t^tc
Bmr025-c0_1194000_1194390,we have time ?,we have time ?,qy^rt,qy^rt
Bmr025-c0_1194710_1195460,i wanted to ask ==,i wanted to ask ==,s.%--,s.%--
Bmr025-c0_1195650_1201630,i know that uh that thilo you were um - bringing the channeltrans interface onto the windows machine .,i know that uh that thilo you were um - bringing the channeltrans interface onto the windows machine .,s^bu^rt,s^bu^rt
Bmr025-c3_1202460_1203890,yeah it's - it - basically it's done .,yeah it's - it - basically it's done .,s,s
Bmr025-c0_1202570_1203410,and i wanted to know is th- ==,and i wanted to know is th- ==,s.%-,s.%-
Bmr025-c3_1203890_1204010,yeah .,yeah .,b,b
Bmr025-c0_1204280_1205910,it's all done that's g- - wonderful great .,it's all done that's g- - wonderful great .,s^bk^m,s^bk^m
Bmr025-c3_1205050_1205170,yeah .,yeah .,b,b
Bmr025-ca_1206210_1209930,yes since tcl t k runs on it basically things will just work .,yes since tcl-t_k runs on it basically things'll just work .,s,s
Bmr025-c3_1209050_1209260,yeah it ==,yeah it ==,%-,%-
Bmr025-c3_1210120_1213790,yeah it was just a problem with the snack version and the transcriber version .,yeah it was just a problem with the snack version and the transcriber version .,s,s
Bmr025-c3_1213790_1215680,but it's solved .,but it's solved .,fh,fh
Bmr025-c3_1215920_1216150,so ==,so ==,fh,fh
Bmr025-c0_1216390_1218110,does - and that - does that mean i ?==,does - and that - does that mean i ?==,qy.%--,qy.%--
Bmr025-c0_1218580_1219560,maybe i should know this but i don't .,maybe i should know this but i don't .,s,s
Bmr025-c0_1219560_1225250,does this mean that the - that this could be por- - uh ported to a think pad note- - or some other type of uh ?==,does this mean that the - that this could be por- - uh ported to a think-pad note- - or some other type of uh ?==,qy^bu.%-,qy^bu.%-
Bmr025-c3_1225580_1228260,yeah basically uh i did install it on my laptop .,yeah basically uh i did install it on my laptop .,s^aa,s^aa
Bmr025-c3_1228260_1228940,and - yeah .,and - yeah .,fh,fh
Bmr025-c0_1229420_1229720,wonderful .,wonderful .,s^bk,s^bk
Bmr025-c3_1229550_1229900,it worked .,it worked .,s,s
Bmr025-c0_1230230_1230600,wonderful .,wonderful .,s^bk^r,s^bk^r
Bmr025-c1_1230260_1230540,huh !,hmm !,b,b
Bmr025-c1_1231220_1231420,good .,good .,s^ba,s^ba
Bmr025-c1_1233830_1234560,crosspads ?,crosspads ?,qo^d^rt^t^tc,qo^d^rt^t^tc
Bmr025-ca_1234820_1238130,uh i got an email from uh - james landay .,uh {i} got an email from uh - james landay .,s,s
